FID,cod_aldeia,nome_aldeia,cod_ti,cod_municipio,data_cadastro,flag_ativo,nome_cr,the_geom,nommunic,nomuf,undadm_codigo,coord_lat,coord_long
aldeias_pontos.fid-8091ffc_197eb49b98a_3a19,2850,PALMEIRA JAVAI,48701,1300201,30/07/2018,A,COORDENACAO REGIONAL DO VALE DO JAVARI,POINT (-72.8094805556 -5.12911666667),Atalaia do Norte,Amazonas,30202001892,-5.12911667,-72.80948056
aldeias_pontos.fid-8091ffc_197eb49b98a_3a1a,2998,PALMEIRAS,20901,2615805,03/09/2018,A,COORDENACAO REGIONAL NORDESTE I,POINT (-37.3106916667 -8.65726388889),Tupanatinga,Pernambuco,30202001969,-8.65726389,-37.31069167
aldeias_pontos.fid-8091ffc_197eb49b98a_3a1b,752,PALMEIRAS,2401,1721208,20/10/2016,A,COORDENACAO REGIONAL ARAGUAIA TOCANTINS,POINT (-47.7025 -6.15166666667),Tocantinópolis,Tocantins,30202001962,-6.15166667,-47.7025
aldeias_pontos.fid-8091ffc_197eb49b98a_3a1c,3159,PAMBU,59201,2909901,10/09/2018,A,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,POINT (-39.3607 -8.54576388889),Curaçá,Bahia,30202001983,-8.54576389,-39.3607
aldeias_pontos.fid-8091ffc_197eb49b98a_3a1d,3156,PAMBUZINHO,59201,2900207,10/09/2018,A,COORDENACAO REGIONAL BAIXO SÃO FRANCISCO,POINT (-39.335575 -8.58851944444),Abaré,Bahia,30202001983,-8.58851944,-39.335575
aldeias_pontos.fid-8091ffc_197eb49b98a_3a1e,2319,PANDARAWEJ,51101,5101407,12/07/2018,A,COORDENACAO REGIONAL DE JI PARANA,POINT (-60.7757138889 -10.6697388889),Aripuanã,Mato Grosso,30202001948,-10.66973889,-60.77571389
aldeias_pontos.fid-8091ffc_197eb49b98a_3a1f,2909,PANORAMA,45901,1302702,13/08/2018,A,COORDENACAO REGIONAL DO MADEIRA,POINT (-61.7322833333 -6.25671111111),Manicoré,Amazonas,30202001864,-6.25671111,-61.73228333
aldeias_pontos.fid-8091ffc_197eb49b98a_3a20,3641,PANORAMA,32701,5102603,29/10/2018,A,COORDENACAO REGIONAL XAVANTE,POINT (-53.3699055556 -14.4688166667),Campinápolis,Mato Grosso,30202002053,-14.46881667,-53.36990556
aldeias_pontos.fid-8091ffc_197eb49b98a_3a21,2592,PANTALEÃO,32801,1300300,24/07/2018,A,COORDENACAO REGIONAL DE MANAUS,POINT (-59.1327777778 -3.58618611111),Autazes,Amazonas,30202001871,-3.58618611,-59.13277778
aldeias_pontos.fid-8091ffc_197eb49b98a_3a22,2327,PANÃG,43001,1101203,12/07/2018,A,COORDENACAO REGIONAL DE CACOAL,POINT (-61.4177555556 -10.8513861111),Ministro Andreazza,Rondônia,30202001934,-10.85138611,-61.41775556
